Hyperparameters,Reward Mean,Standard Deviation
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",56.11280059814453,51.087440490722656
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.12, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",50.69279861450195,54.75665283203125
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.07, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",22.16440200805664,22.226835250854492
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 10, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",45.32080078125,35.281063079833984
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 1, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",15.428799629211426,8.186105728149414
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 2, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",16.946800231933594,10.314356803894043
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 5, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",27.249601364135742,25.06132698059082
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 30, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",47.596397399902344,37.9212646484375
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",60.47319793701172,42.29096984863281
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 15, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",54.31800079345703,43.358238220214844
"{'num_runs': 10, 'epsilon_decay': 0.1, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",55.21239471435547,43.40659713745117
"{'num_runs': 10, 'epsilon_decay': 0.05, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",57.209999084472656,46.27332305908203
"{'num_runs': 10, 'epsilon_decay': 0.02, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",56.22760009765625,42.48451614379883
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",59.133201599121094,43.34394073486328
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 15, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",36.92959976196289,30.216066360473633
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 25, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",57.20640182495117,41.52967834472656
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 20, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",52.84199905395508,44.80342102050781
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 35, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",68.97760009765625,61.13129806518555
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 5, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",15.78600025177002,8.422582626342773
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 10, 'update_frequency': 20, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",29.13520050048828,25.410036087036133
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 32, 'update_frequency': 20, 'loss_function': 'MSE', 'epsilon_start': 0.5, 'epsilon_end': 0.01, 'network_architecture': (4, 8, 8, 2)}",66.9072036743164,47.250267028808594
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 32, 'update_frequency': 20, 'loss_function': 'MSE', 'epsilon_start': 1, 'epsilon_end': 0.01, 'network_architecture': (4, 8, 8, 2)}",59.138797760009766,41.3714714050293
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 32, 'update_frequency': 20, 'loss_function': 'MSE', 'epsilon_start': 0.7, 'epsilon_end': 0.01, 'network_architecture': (4, 8, 8, 2)}",77.79000091552734,65.56696319580078
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 32, 'update_frequency': 20, 'loss_function': 'MSE', 'epsilon_start': 0.2, 'epsilon_end': 0.01, 'network_architecture': (4, 8, 8, 2)}",53.93320083618164,41.085960388183594
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.15, 'replay_buffer_size': 15000, 'batch_size': 32, 'update_frequency': 20, 'loss_function': 'MSE', 'epsilon_start': 0.8, 'epsilon_end': 0.01, 'network_architecture': (4, 8, 8, 2)}",75.85879516601562,56.768524169921875
